"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert"
"received_message","none","reply_message","single","","","c","contacts","ignored_contacts","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#menu//.menu//!menu//menu","normal","━━「 *🤖Raa BOTz🤖* 」━━\n\n*INFO USER BOT*\n*❏ Nama *%name%*\n```❏ User : Free```\n```❏ Xp : 5000```\n```❏ Rank : Bronze I```\n```❏ Level : 1```\n\n*INFO BOT*\n```❏ Nama``` : *Raa BOTz*\n```❏ Owner``` : *ARA CANS*\n```❏ Prefix : 「 # 」```\n```❏ Total Register : 4567```\n```❏ User Premium : 906```\n```❏ Total Fitur : 591```\n​\n*_LIST MENU_*\n*❏✅ #menugroup*\n*❏✅ #pantunmenu*\n*❏✅ #permainanmenu*\n*❏✅ #benderamenu*\n*❏✅ #googlemenu*\n*❏✅ #katamenu*\n*❏✅ #wikimenu*\n*❏✅ #virtexmenu*\n*❏✅ #menutermux*\n*❏✅ #menupremium*\n*❏✅ #menuhp*\n*❏✅ #mediamenu*\n*❏✅ #othermenu*\n*❏✅ #ownermenu*\n*❏✅ #kerangmenu*\n*❏✅ #limit&levelmenu*\n*❏✅ #animemenu*\n*❏✅ #help2*\n*❏✅ #help3*\n*❏✅ #jadwaltvmenu*\n*❏✅ #spammenu*\n*❏✅ #funmenu*\n*❏✅ #editormenu*\n*❏✅ #downloadmenu*\n*❏✅ #stickermenu*\n*❏✅ #nulismenu*\n*❏✅ #medsosmenu*\n*❏✅ #iklan1*\n*❏✅ #iklan2*\n*_ABOUT_*\n*❏🆕 #sosialmedia*\n*❏🆕 #runtime*\n*❏🆕 #creator*\n*❏🆕 #donasi*\n*❏🆕 #speed*\n*❏🆕 #info*\n\n*RULES*\n```•>Telp/Vc = Block```\n```•>Spam = Block + Banned```\n\n━━「 *ARA CANS* 」━━<#>Jangan Lupa SUBSCRIBE Channel Youtube\n@arabotz\n\nhttps://youtube.com/channel/UCy5y79y7gtFACwtbrQRGTFQ","all","2","2","g","","","","","0","","","","","","","","seconds","1","0","","",,,,,,,
"#berinilai","none","Halo apakah anda senang dengan Raa BOTz, jika senang silahkan berikan kami bintang, contoh ⭐⭐⭐⭐⭐\n\nSilahkan berikan kami bintang terbaik?\n\n⭐⭐⭐⭐⭐  \n[Bintang 5] = berarti sangat puas \n⭐⭐⭐⭐\n[Bintang 4] = berarti puas\n⭐⭐⭐\n[Bintang 3] = berarti lumayan\n⭐⭐\n[Bintang 2] = berarti jelek \n⭐\n[Bintang 1] = berarti tidak bermanfaat sama sekali<#>Jika anda tidak memiliki emoji bintang tersebut silahkan salin emoji bintang ini ⭐ \n\nTerimakasih 😊<#>⭐ salin<#>Kami harap bintang yang terbaik dari anda","all","3","3","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"⭐⭐⭐⭐⭐","none","Halo terimakasih telah memberi ulasan kapada Raa BOTz\n\nMasukan anda membantu orang lain membuat keputusan yang lebih baik tentang  kami<#>Berikut Adalah Orang Yang Telah Memberi Nilai Kapada @raa botz\n\nPesan dari @Alfi\n⭐⭐⭐⭐⭐\n\nPesan dari @Amanda\n⭐⭐⭐⭐⭐\n\nPesan dari @PutraPratama\n⭐⭐⭐⭐⭐\n\nPesan dari @Jessica\n⭐⭐⭐⭐⭐\n\nPesan dari @Farhan\n⭐⭐⭐⭐\n\nPesan dari @Nadia\n⭐⭐⭐⭐\n\nPesan dari @%name%\n%message%\n\nTerimakasih semuanya 😊","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"⭐⭐⭐⭐","none","Halo terimakasih telah memberi ulasan kapada Raa BOTz\n\nMasukan anda membantu orang lain membuat keputusan yang lebih baik tentang  kami<#>Berikut Adalah Orang Yang Telah Memberi Nilai Kapada @raa botz\n\nPesan dari @Alfi\n⭐⭐⭐⭐⭐\n\nPesan dari @Amanda\n⭐⭐⭐⭐⭐\n\nPesan dari @PutraPratama\n⭐⭐⭐⭐⭐\n\nPesan dari @Jesica\n⭐⭐⭐⭐⭐\n\nPesan dari @Farhan\n⭐⭐⭐⭐\n\nPesan dari @Nadia\n⭐⭐⭐⭐\n\nPesan dari @%name%\n%message%\n\nTerimakasih semuanya 😊","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"⭐⭐⭐","none","Halo terimakasih telah memberi ulasan kapada Raa BOTz\n\nMasukan anda membantu orang lain membuat keputusan yang lebih baik tentang  kami<#>Berikut Adalah Orang Yang Telah Memberi Nilai Kapada @Raa botz\n\nPesan dari @Alfi\n⭐⭐⭐⭐⭐\n\nPesan dari @Amanda\n⭐⭐⭐⭐⭐\n\nPesan dari @PutraPratama\n⭐⭐⭐⭐⭐\n\nPesan dari @Jesica\n⭐⭐⭐⭐⭐\n\nPesan dari @Farhan\n⭐⭐⭐⭐\n\nPesan dari @Nadia\n⭐⭐⭐⭐\n\nPesan dari @%name%\n%message%\n\nTerimakasih semuanya 😊","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"⭐⭐","none","Halo terimakasih telah memberi ulasan kapada Raa BOTz\n\nMasukan anda membantu orang lain membuat keputusan yang lebih baik tentang  kami<#>Berikut Adalah Orang Yang Telah Memberi Nilai Kapada @raa botz\n\nPesan dari @Alfi\n⭐⭐⭐⭐⭐\n\nPesan dari @Amanda\n⭐⭐⭐⭐⭐\n\nPesan dari @PutraPratama\n⭐⭐⭐⭐⭐\n\nPesan dari @Jesica\n⭐⭐⭐⭐⭐\n\nPesan dari @Farhan\n⭐⭐⭐⭐\n\nPesan dari @Nadia\n⭐⭐⭐⭐\n\nPesan dari @%name%\n%message%\n\nTerimakasih semuanya 😊","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"⭐","none","Halo terimakasih telah memberi ulasan kapada Raa BOTz\n\nMasukan anda membantu orang lain membuat keputusan yang lebih baik tentang  kami<#>Berikut Adalah Orang Yang Telah Memberi Nilai Kapada @Raa botz\n\nPesan dari @Alfi\n⭐⭐⭐⭐⭐\n\nPesan dari @Amanda\n⭐⭐⭐⭐⭐\n\nPesan dari @PutraPratama\n⭐⭐⭐⭐⭐\n\nPesan dari @Jesica\n⭐⭐⭐⭐⭐\n\nPesan dari @Farhan\n⭐⭐⭐⭐\n\nPesan dari @Nadia\n⭐⭐⭐⭐\n\nPesan dari @%name%\n%message%\n\nTerimakasih semuanya 😊","all","5","5","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#berlangganan","none","Untuk berlangganan uji coba gratis silahkan ketik #verifikasi \nJika sudah bot akan mengirimkan anda kode verifikasi dan salin kodenya lalu kirim ke wa ini untuk berlangganan uji coba gratis","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"td-724968","none","Terima kasih\n\nAnda telah mendaftar untuk langganan uji coba gratis dari @Raffa BOTz di Whatsapp. Periode uji coba Anda akan berakhir pada 17 Agustus. Anda akan otomatis ditagih biaya langganan sebesar (saat ini Rp 0/bulan) Kelola langganan Anda.\n\nNomor pesanan: GPA.3368-8954-6322-26182\nTanggal pesanan: %day_of_month%-%month%-%year%<#>*Selamat datang.*\n\n\nKami gembira menyambut Anda sebagai pelanggan @Raffa BOTz Nikmati akses ke berbagai keuntungan eksklusif.\n\n \nBerikut level Anda saat ini: Private @Raffa BOTz\n\n \nLihat semua keuntungan yang Anda dapatkan, dan kelola langganan Anda.\n \n\nMetode pembayaran yang Anda berikan untuk langganan ini akan ditagih setiap bulannya mulai tanggal 17 agustus 2022.\n \n\nTerima kasih,\nTim Raffa Team","all","60","60","c","","","","","0","","","","","","","","seconds","1","0","","",,,,,,,
